line	kind	text
269	normative	Mathematical operators and functions in general rely on prefix notation. By doing this, it is possible to call and compose operations with a minimum of explicit grouping. When all operators and functions have known arity, no grouping markers are necessary. In cases where operators have variable arity, the operation is closed with `MKAY`. An `MKAY` may be omitted if it coincides with the end of the line/statement, in which case the EOL stands in for as many `MKAYs` as there are open variadic functions.
271	normative	Calling unary operators then has the following syntax:
273	code	```
274	syntax	<operator> <expression1>
275	prose	```
277	normative	The `AN` keyword can optionally be used to separate arguments, so a binary operator expression has the following syntax:
279	code	```
280	syntax	<operator> <expression1> [AN] <expression2>
281	prose	```
283	normative	An expression containing an operator with infinite arity can then be expressed with the following syntax:
285	code	```
286	syntax	<operator> <expr1> [[[AN] <expr2>] [AN] <expr3> ...] MKAY
287	prose	```
289	heading	Math
291	prose	The basic math operators are binary prefix operators.
293	code	```
294	syntax	SUM OF <x> AN <y>       BTW +
295	syntax	DIFF OF <x> AN <y>      BTW -
296	syntax	PRODUKT OF <x> AN <y>   BTW *
297	syntax	QUOSHUNT OF <x> AN <y>  BTW /
298	syntax	MOD OF <x> AN <y>       BTW modulo
299	syntax	BIGGR OF <x> AN <y>     BTW max
300	syntax	SMALLR OF <x> AN <y>    BTW min
301	prose	```
303	normative	`<x>` and `<y>` may each be expressions in the above, so mathematical operators can be nested and grouped indefinitely.
305	prose	Math is performed as integer math in the presence of two NUMBRs, but if either of the expressions are NUMBARs, then floating point math takes over.
307	prose	If one or both arguments are a YARN, they get interpreted as NUMBARs if the YARN has a decimal point, and NUMBRs otherwise, then execution proceeds as above.
309	normative	If one or another of the arguments cannot be safely cast to a numerical type, then it fails with an error.
311	heading	Boolean
313	prose	Boolean operators working on TROOFs are as follows:
315	code	```
316	syntax	BOTH OF <x> [AN] <y>          BTW and: WIN iff x=WIN, y=WIN
317	syntax	EITHER OF <x> [AN] <y>        BTW or: FAIL iff x=FAIL, y=FAIL
318	syntax	WON OF <x> [AN] <y>           BTW xor: FAIL if x=y
319	syntax	NOT <x>                       BTW unary negation: WIN if x=FAIL
320	syntax	ALL OF <x> [AN] <y> ... MKAY  BTW infinite arity AND
321	syntax	ANY OF <x> [AN] <y> ... MKAY  BTW infinite arity OR
322	prose	```
324	normative	`<x>` and `<y>` in the expression syntaxes above are automatically cast as TROOF values if they are not already so.
326	heading	Comparison
328	prose	Comparison is (currently) done with two binary equality operators:
330	code	```
331	syntax	BOTH SAEM <x> [AN] <y>   BTW WIN iff x == y
332	syntax	DIFFRINT <x> [AN] <y>    BTW WIN iff x != y
333	prose	```
335	prose	Comparisons are performed as integer math in the presence of two NUMBRs, but if either of the expressions are NUMBARs, then floating point math takes over. Otherwise, there is no automatic casting in the equality, so `BOTH SAEM "3" AN 3` is FAIL.
337	prose	There are (currently) no special numerical comparison operators. Greater-than and similar comparisons are done idiomatically using the minimum and maximum operators.
339	code	```
340	syntax	BOTH SAEM <x> AN BIGGR OF <x> AN <y>   BTW x >= y
341	syntax	BOTH SAEM <x> AN SMALLR OF <x> AN <y>  BTW x <= y
342	syntax	DIFFRINT <x> AN SMALLR OF <x> AN <y>   BTW x > y
343	syntax	DIFFRINT <x> AN BIGGR OF <x> AN <y>    BTW x < y
344	prose	```
346	normative	If `<x>` in the above formulations is too verbose or difficult to compute, don't forget the automatically created IT temporary variable. A further idiom could then be:
348	code	```
349	syntax	<expression>, DIFFRINT IT AN SMALLR OF IT AN <y>
350	prose	```
352	bullet	*Suggestions are being accepted for coherently and convincingly english-like prefix operator names for greater-than and similar operators.*
354	heading	Concatenation
356	normative	An indefinite number of YARNs may be explicitly concatenated with the `SMOOSH...MKAY` operator. Arguments may optionally be separated with `AN`. As the `SMOOSH` expects strings as its input arguments, it will implicitly cast all input values of other types to YARNs. The line ending may safely implicitly close the `SMOOSH` operator without needing an `MKAY`.
358	heading	Casting
360	normative	Operators that work on specific types implicitly cast parameter values of other types. If the value cannot be safely cast, then it results in an error.
362	normative	An expression's value may be explicitly cast with the binary `MAEK` operator.
364	code	```
365	syntax	MAEK <expression> [A] <type>
366	prose	```
368	prose	Where `<type>` is one of TROOF, YARN, NUMBR, NUMBAR, or NOOB. This is only for local casting: only the resultant value is cast, not the underlying variable(s), if any.
370	normative	To explicitly re-cast a variable, you may create a normal assignment statement with the `MAEK` operator, or use a casting assignment statement as follows:
372	code	```
373	syntax	<variable> IS NOW A <type>         BTW equivalent to
374	syntax	<variable> R MAEK <variable> [A] <type>
375	prose	```
377	prose	---
379	heading	Input/Output
381	heading	Terminal-Based
383	normative	The print (to STDOUT or the terminal) operator is `VISIBLE`. It has infinite arity and implicitly concatenates all of its arguments after casting them to YARNs. It is terminated by the statement delimiter (line end or comma). The output is automatically terminated with a carriage return (:)), unless the final token is terminated with an exclamation point (!), in which case the carriage return is suppressed.
385	code	```
386	syntax	VISIBLE <expression> [<expression> ...][!]
387	prose	```
389	prose	There is currently no defined standard for printing to a file.
391	normative	To accept input from the user, the keyword is
393	code	```
394	syntax	GIMMEH <variable>
395	prose	```
397	prose	which takes YARN for input and stores the value in the given variable.
399	bullet	*`GIMMEH` is defined minimally here as a holdover from 1.0 and because there has not been any detailed discussion of this feature. We count on the liberal casting capabilities of the language and programmer inventiveness to handle input restriction. `GIMMEH` may change in a future version.*
401	prose	---
403	heading	Statements
405	heading	Expression Statements
407	normative	A bare expression (e.g. a function call or math operation), without any assignment, is a legal statement in LOLCODE. Aside from any side-effects from the expression when evaluated, the final value is placed in the temporary variable `IT`. `IT`'s value remains in local scope and exists until the next time it is replaced with a bare expression.
409	heading	Assignment Statements
411	normative	Assignment statements have no side effects with `IT`. They are generally of the form:
413	code	```
414	syntax	<variable> <assignment operator> <expression>
415	prose	```
417	normative	The variable being assigned may be used in the expression.
419	heading	Flow Control Statements
421	prose	Flow control statements cover multiple lines and are described in the following section.
423	prose	---
425	heading	Flow Control
427	heading	Conditionals
429	heading	If-Then
431	normative	The traditional if/then construct is a very simple construct operating on the implicit `IT` variable. In the base form, there are four keywords: `O RLY?`, `YA RLY`, `NO WAI`, and `OIC`.
433	normative	`O RLY?` branches to the block begun with `YA RLY` if `IT` can be cast to WIN, and branches to the `NO WAI` block if `IT` is FAIL. The code block introduced with `YA RLY` is implicitly closed when `NO WAI` is reached. The `NO WAI` block is closed with `OIC`. The general form is then as follows:
435	code	```
436	syntax	<expression>
437	code	O RLY?
438	code	YA RLY
439	syntax	<code block>
440	code	NO WAI
441	syntax	<code block>
442	code	OIC
443	prose	```
445	prose	while an example showing the ability to put multiple statements on a line separated by a comma would be:
447	code	```
448	code	BOTH SAEM ANIMAL AN "CAT", O RLY?
449	code	YA RLY, VISIBLE "J00 HAV A CAT"
450	code	NO WAI, VISIBLE "J00 SUX"
451	code	OIC
452	prose	```
454	normative	The elseif construction adds a little bit of complexity. Optional `MEBBE <expression>` blocks may appear between the YA RLY and NO WAI blocks. If the `<expression>` following `MEBBE` is WIN, then that block is performed; if not, the block is skipped until the following `MEBBE`, `NO WAI`, or `OIC`. The full expression syntax is then as follows:
456	code	```
457	syntax	<expression>
458	code	O RLY?
459	code	YA RLY
460	syntax	<code block>
461	syntax	[MEBBE <expression>
462	syntax	<code block>
463	syntax	[MEBBE <expression>
464	syntax	<code block>
465	code	...]]
466	code	[NO WAI
467	syntax	<code block>]
468	code	OIC
469	prose	```
471	prose	An example of this conditional is then:
473	code	```
474	code	BOTH SAEM ANIMAL AN "CAT"
475	code	O RLY?
476	code	YA RLY, VISIBLE "J00 HAV A CAT"
477	code	MEBBE BOTH SAEM ANIMAL AN "MAUS"
478	code	VISIBLE "NOM NOM NOM. I EATED IT."
479	code	OIC
480	prose	```
482	heading	Case
484	bullet	*(from 1.2)*
486	normative	The LOLCODE keyword for switches is `WTF?`. The `WTF?` operates on `IT` as being the expression value for comparison. A comparison block is opened by `OMG` and must be a literal, not an expression. (A literal, in this case, excludes any YARN containing variable interpolation (`:{var}`).) Each literal must be unique. The `OMG` block can be followed by any number of statements and may be terminated by a `GTFO`, which breaks to the end of the the `WTF` statement. If an `OMG` block is not terminated by a `GTFO`, then the next `OMG` block is executed as is the next until a `GTFO` or the end of the `WTF` block is reached. The optional default case, if none of the literals evaluate as true, is signified by `OMGWTF`.
488	code	```
489	code	WTF?
490	syntax	OMG <value literal>
491	syntax	<code block>
492	syntax	[OMG <value literal>
493	syntax	<code block> ...]
494	code	[OMGWTF
495	syntax	<code block>]
496	code	OIC
497	prose	```
499	code	```
500	code	COLOR, WTF?
501	code	OMG "R"
502	code	VISIBLE "RED FISH"
503	code	GTFO
504	code	OMG "Y"
505	code	VISIBLE "YELLOW FISH"
506	code	OMG "G"
507	code	OMG "B"
508	code	VISIBLE "FISH HAS A FLAVOR"
509	code	GTFO
510	code	OMGWTF
511	code	VISIBLE "FISH IS TRANSPARENT"
512	code	OIC
513	prose	```
515	prose	In this example, the output results of evaluating the variable `COLOR` would be:
517	prose	"R":
519	code	```
520	code	RED FISH
521	prose	```
523	prose	"Y":
525	code	```
526	code	YELLOW FISH
527	code	FISH HAS A FLAVOR
528	prose	```
530	prose	"G":
532	code	```
533	code	FISH HAS A FLAVOR
534	prose	```
536	prose	"B":
538	code	```
539	code	FISH HAS A FLAVOR
540	prose	```
542	prose	none of the above:
544	code	```
545	code	FISH IS TRANSPARENT
546	prose	```
548	heading	Loops
550	bullet	*Loops are currently defined more or less as they were in the original examples. Further looping constructs will be added to the language soon.*
552	normative	Simple loops are demarcated with `IM IN YR <label>` and `IM OUTTA YR <label>`. Loops defined this way are infinite loops that must be explicitly exited with a GTFO break. Currently, the `<label>` is required, but is unused, except for marking the start and end of the loop.
554	bullet	*Immature spec – **subject to change**:*
556	prose	Iteration loops have the form:
558	code	```
559	syntax	IM IN YR <label> <operation> YR <variable> [TIL|WILE <expression>]
560	syntax	<code block>
561	syntax	IM OUTTA YR <label>
562	prose	```
564	normative	Where <operation> may be UPPIN (increment by one), NERFIN (decrement by one), or any unary function. That operation/function is applied to the <variable>, which is temporary, and local to the loop. The TIL <expression> evaluates the expression as a TROOF: if it evaluates as FAIL, the loop continues once more, if not, then loop execution stops, and continues after the matching IM OUTTA YR <label>. The WILE <expression> is the converse: if the expression is WIN, execution continues, otherwise the loop exits.
566	prose	---
568	heading	Functions
570	bullet	*(updated from 1.2)*
572	heading	Definition
574	normative	A function is demarked with the opening keyword `HOW IZ I` and the closing keyword `IF U SAY SO`. The syntax is as follows:
576	code	```
577	syntax	HOW IZ I <function name> [YR <argument1> [AN YR <argument2> ...]]
578	syntax	<code block>
579	code	IF U SAY SO
580	prose	```
582	normative	Currently, the number of arguments in a function can only be defined as a fixed number. The `<argument>`s are single-word identifiers that act as variables within the scope of the function's code. The calling parameters' values are then the initial values for the variables within the function's code block when the function is called.
584	bullet	*Currently, functions do not have access to the outer/calling code block's variables.*
586	heading	Returning
588	normative	Return from the function is accomplished in one of the following ways:
590	bullet	* `FOUND YR <expression>` returns the value of the expression.
591	bullet	* `GTFO` returns with no value (NOOB).
592	bullet	* in the absence of any explicit break, when the end of the code block is reached (`IF U SAY SO`), the value in `IT` is returned.
594	heading	Calling
596	normative	A function of given arity is called with:
598	code	```
599	syntax	I IZ <function name> [YR <expression1> [AN YR <expression2> [AN YR <expression3> ...]]] MKAY
600	prose	```
602	normative	That is, an expression is formed by the function name followed by any arguments. Those arguments may themselves be expressions. The expressions' values are obtained before the function is called. The arity of the functions is determined in the definition.
604	normative	The I parameter is used to distingish a function call on the current namespace vs. a function call on a bukkit (defined below).
606	prose	---
608	heading	Arrays
610	bullet	*(updated from 1.2)*
612	normative	BUKKITs are the container type. They may hold NUMBRs, NUMBARs, TROOFs, YARNs, functions (FUNKSHUN), and other BUKKITS. Each entity within a BUKKIT may be indexed by a NUMBR or a YARN. These indices, whether NUMBRs or YARNs, referring to functions, variables, or other BUKKITs, are generically called “slots”.
614	heading	Declaration
616	normative	To create an empty object within the current object's scope:
618	code	```
619	syntax	I HAS A <object> ITZ A BUKKIT
620	prose	```
622	prose	This object will have the default behavior of all bukkits.
624	heading	Slot Creation / Assignment
626	prose	One of the most obvious thing to do with a bukkit it place something in a slot.
628	code	```
629	syntax	<object> HAS A <slotname> ITZ <expression>
630	code	```
632	code	A slot may be declared/initialized more than once, however doing so only changes the value the slot references.
634	code	This places the value returned from expression (could be another object) into the slot identified by slotname. The slot name may be any identifier (or SRS BIZNUS cast). Note: This identifier may be a function. Example:
636	prose	```
637	prose	HOW IZ I blogin YR stuff
638	prose	VISIBLE stuff
639	prose	IF U SAY SO
641	prose	<object> HAS A blogin ITZ blogin
642	code	```
644	code	### Functions
646	code	To declare a function inside a bukkit's slot
648	prose	```
649	prose	HOW IZ <object> <slot> (YR <argument>)*
650	prose	( <statements> )*
651	prose	IF U SAY SO
652	code	```
654	code	So, the above code becomes
656	prose	```
657	prose	HOW IZ <object> blogin YR stuff
658	prose	VISIBLE stuff
659	prose	IF U SAY SO
660	code	```
662	code	### Scope
664	code	Functions operate differently in the context of bukkits. When a function is called from an object, some scope rules and variable resolution change.
666	code	When an identifier is used in a function, the variable is looked up in the following manner:
668	code	* The function namespace
669	code	* The calling object's namespace (if called from object)
670	code	* The “global” namespace
672	code	*IT is always looked up from global namespace*
674	code	The function namespace is made up of all arguments and any variable declared using the identifier “I” it resides within the function's namespace.
676	prose	```
677	prose	HOW IZ I fooin YR bar
678	normative	BTW bar is on function namespace
679	prose	I HAS A bar2
680	normative	BTW bar2 is on the function namespace
681	prose	IF U SAY SO
682	code	```
684	code	ME is an identifier used to access the calling object of a function. If there is no calling object, access to ME throws an exception.
686	code	Declaring a variable on the calling objects namespace is done as follows:
688	prose	```
689	prose	HOW IZ I fooin YR bar
690	prose	ME HAS A bar2
691	prose	BTW bar2 is now a slot on calling object
692	prose	IF U SAY SO
693	code	```
695	code	ME can also be used to explicitly use a slot variable vs. a function namespace variable.
697	prose	```
698	prose	HOW IZ I fooin YR bar
699	prose	ME'Z bar R bar
700	prose	BTW sets calling object's bar slot to bar value
701	prose	IF U SAY SO
702	code	```
704	code	### Alternate Syntax
706	code	There is an alternate way to define a new object/bukkit
708	prose	```
709	prose	O HAI IM <object> [IM LIEK <parent>]
710	prose	<code-block>
711	prose	KTHX
712	code	```
714	syntax	Anything “I” inside the codeblock actually refers to <object>. This can simplify syntax, eg:
716	prose	```
717	prose	O HAI IM pokeman
718	prose	I HAS A name ITZ "pikachu"
719	prose	HOW IZ I pikachuin YR face
720	prose	BTW DEFINE
721	prose	IF U SAY SO
722	prose	KTHX
723	code	```
725	code	Identifiers within the O HAI block are looked up via slot-access first. If they are not found, the global scope is then searched. If that fails, then an error is thrown.
727	code	### Slot Access
729	code	Bukkit slots are accessed using the slot operator ”-”.
731	prose	```
732	prose	<object> 'Z <slotname>
733	prose	```
735	prose	or indirectly using the Srs operator
737	code	```
738	syntax	<object> 'Z SRS <expression>
739	prose	```
741	normative	Slot access is very important to function calls.  To call a function on an object:
743	code	```
744	syntax	<object> IZ <slotname> (YR <variable> (AN YR <variable)*)? MKAY
745	prose	```
747	prose	combined with the Srs operator allows the following:
749	code	```
750	code	HOW IZ I getin YR object AN YR varName
751	code	I HAS A funcName ITZ SMOOSH "get" AN varName MKAY
752	code	FOUND YR object IZ SRS funcName MKAY
753	code	IF U SAY SO
754	prose	```
756	prose	This will call get<varName> on object.
758	heading	Special Slots
760	prose	Every bukkit contains a few slots that have special meaning
762	bullet	* parent
763	bullet	* omgwtf
764	bullet	* izmakin
766	prose	`parent` refers to a bukkit's “parent” object and is described below.
768	normative	`omgwtf` refers to a method that is called when slot access fails. This method should return a variable (that will be placed in the unknown slot) or throw an exception. The default implementation of canhas is to always throw an exception.
770	normative	`izmakin` refers to a method that will be run after a bukkit is fully prototyped but before the prototyping method returns. This allows a bukkit creator to perform some logic every time that bukkit is prototyped, and guarantees a “well-formed” bukkit.
772	heading	Inheritance / Prototyping
774	normative	To create an object based upon an existing object:
776	code	```
777	syntax	I HAS A <object> ITZ LIEK A <parent>
778	prose	```
780	prose	Behavior of this sort of inheritance is described further below.
782	normative	To define inheritance using alternate syntax, do the following.
784	code	```
785	syntax	O HAI IM <object> [IM LIEK <parent>]
786	syntax	<code block>
787	code	KTHX
788	prose	```
790	normative	Inheritance implies a few things, one of which is inheritance of slots (described below). Another thing inheritance does is automatically create a “parent” slot on the new object. The “parent” slot refers to the object that this object was inherited from, or its prototype. The parent slot is treated specially by the Bukkit. An interesting side effect of this is that a Bukkit may change its “parent”/“prototype” by changing its parent slot. More on this later.
792	heading	Inheritance of slots
794	prose	Declaring a variable within the current object adds that variable to the object.
796	prose	Accessing a variable from within the current object looks for that variable within the current object. If it is not found, it searches for the variable within the parent object (using the parent slot), and on up the chain of parents until it reaches an object where the parent slot is NOOB or it reaches a parent object is has already searched before.
798	normative	Assigning a variable within the object first searches for it within the current object. If it has been declared within the current object, then it is set. If that fails, it attempts to access it within the parent object. Search continues in up the chain of parents. If the variable name is found up the inheritance chain, then that variable is declared and created within the current object (where the search started), and the value is set. If the variable search fails and the variable was never previously assigned, then it's a declaration error.
800	prose	In this way, a child object has all of the values and methods of its ancestors, unless it replaces them within itself.
802	heading	Functions and Inheritance
804	normative	No matter where a FUNKSHUN is stored in a slot, during a Slot-Access Function call, the Function obtains variables from the object it was accessed from.
806	code	```
807	syntax	<object> IZ <functionSlotName> MKAY
808	prose	```
810	normative	In this case, the function will pull variables from <object>.
812	prose	SO:
814	code	```
815	code	HOW IZ I funkin YR shun ?
816	code	VISIBLE SMOOSH prefix AN shun MKAY
817	code	IF U SAY SO
819	code	O HAI IM parentClass
820	code	I HAS A prefix ITZ "parentClass-"
821	code	I HAS A funkin ITZ funkin    BTW Pulls funk from global scope
822	code	KTHX
825	code	O HAI IM testClass IM LIEK parentClass
826	code	I HAS A prefix ITZ "testClass-"
827	code	KTHX
829	code	parentClass IZ funkin YR "HAI" MKAY        BTW parentClass-HAI
830	code	testClass IZ funkin YR "HAI" MKAY            BTW testClass-HAI
831	prose	```
833	heading	Inheritance
835	prose	LOLCODE supports a form of multiple-inheritance (called mixin-inheritance) via a new use of the SMOOSH operator.
837	code	```
838	syntax	I HAS A <object> ITZ A <parent> SMOOSH <mixin> (AN <mixin>)*
839	prose	```
841	prose	or
843	code	```
844	syntax	O HAI IM <object> IM LIEK <parent> SMOOSH <mixin> (AN <mixin>)*
845	syntax	<statement-block>
846	code	KTHX
847	prose	```
849	normative	A mixin may be any bukkit type. When declaring a new object using mixins, All slots defined on the mixin are copied into the newly construct bukkit in reverse order of declaration. So
851	code	```
852	code	I HAS A ZipFileRiver ITZ A River SMOOSH FileStuffz AN ZipStuffz
853	prose	```
